model,n_rows_in_file,processed_instances,total_expected,processed,correct,wrong,missing,pipeline_accuracy,correct_L1,correct_L2,correct_L3,assigned_filter,assigned_embedding,assigned_llm,unmatched,correct_filter,correct_embedding,correct_llm,total_avg_latency_sec,total_sum_latency_sec,total_sum_latency_sec_norm,total_avg_tokens,total_sum_tokens,total_sum_tokens_norm,ex_acc_activity,ex_acc_machine,ex_acc_time,ex_acc_worker,ex_all_correct,ex_all_correct_L1,ex_all_correct_L2,ex_all_correct_L3,ex_L1_activity,ex_L1_machine,ex_L1_time,ex_L1_worker,ex_L2_activity,ex_L2_machine,ex_L2_time,ex_L2_worker,ex_L3_activity,ex_L3_machine,ex_L3_time,ex_L3_worker,cls_entries,cls_accuracy_raw,cls_accuracy_norm,ex_sum_tokens,cls_sum_tokens,match_sum_tokens,ex_sum_tokens_norm,cls_sum_tokens_norm,match_sum_tokens_norm,ex_avg_tokens,cls_avg_tokens,match_avg_tokens,ex_sum_time_sec,cls_sum_time_sec,match_sum_time_sec,ex_sum_time_sec_norm,cls_sum_time_sec_norm,match_sum_time_sec_norm,ex_avg_time_sec,cls_avg_time_sec,match_avg_time_sec
Gemma5,240,240,240,240,224,16,0,0.9333333333333333,79,77,68,180,29,23,8,180,25,19,2.9681377799996653,712.3530671999197,712.3530671999197,1168.6666666666667,280480.0,280480.0,0.9958333333333333,0.9791666666666666,0.8791666666666667,0.8958333333333334,187,79,74,34,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.9875,0.9375,0.725,0.6875,240.0,0.8791666666666667,0.8791666666666667,161894.0,105581.0,13005.0,161894.0,105581.0,13005.0,674.5583333333333,439.92083333333335,54.1875,240.73440680000022,83.39552649999314,388.2231338999263,240.73440680000022,83.39552649999314,388.2231338999263,1.0030600283333342,0.3474813604166381,1.6175963912496931
Gemma6,240,240,240,240,227,13,0,0.9458333333333333,79,78,70,185,30,20,5,185,25,17,2.721969588333013,653.2727011999232,653.2727011999232,1161.2833333333333,278708.0,278708.0,0.9958333333333333,0.9791666666666666,0.8791666666666667,0.9166666666666666,192,79,74,39,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.9875,0.9375,0.725,0.75,240.0,0.875,0.875,161873.0,105568.0,11267.0,161873.0,105568.0,11267.0,674.4708333333333,439.8666666666667,46.94583333333333,240.53983799999332,83.32817870000508,329.40468449992477,240.53983799999332,83.32817870000508,329.40468449992477,1.0022493249999722,0.34720074458335454,1.3725195187496866
Gemma7,240,240,240,240,223,17,0,0.9291666666666667,79,77,67,181,31,22,6,181,25,17,2.910436155416513,698.5046772999631,698.5046772999631,1166.2125,279891.0,279891.0,0.9958333333333333,0.9833333333333333,0.875,0.8958333333333334,188,79,74,35,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.9875,0.95,0.7125,0.6875,240.0,0.8791666666666667,0.8791666666666667,161890.0,105556.0,12445.0,161890.0,105556.0,12445.0,674.5416666666666,439.81666666666666,51.854166666666664,240.71775000001435,83.19684200000847,374.59008529994026,240.71775000001435,83.19684200000847,374.59008529994026,1.0029906250000598,0.34665350833336867,1.5607920220830844
Gemma8,240,240,240,240,226,14,0,0.9416666666666667,79,77,70,183,29,22,6,183,24,19,2.855351811249936,685.2844346999846,685.2844346999846,1166.0666666666666,279856.0,279856.0,0.9958333333333333,0.9833333333333333,0.8791666666666667,0.9041666666666667,189,79,74,36,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.9875,0.95,0.725,0.7125,240.0,0.8791666666666667,0.8791666666666667,161884.0,105548.0,12424.0,161884.0,105548.0,12424.0,674.5166666666667,439.78333333333336,51.766666666666666,240.66757959998904,83.09930149999309,361.51755360000243,240.66757959998904,83.09930149999309,361.51755360000243,1.002781581666621,0.3462470895833045,1.50632314000001
LLama1b1,135,135,240,135,77,58,105,0.32083333333333336,44,31,2,75,10,39,11,74,3,0,5.509682831111166,743.8071822000074,1322.32387946668,1245.2592592592594,168110.0,298862.22222222225,0.7424242424242424,0.7803030303030303,0.6363636363636364,0.6363636363636364,57,41,15,1,0.84,0.96,0.94,0.96,0.7906976744186046,0.8837209302325582,0.627906976744186,0.6744186046511628,0.5641025641025641,0.4358974358974359,0.2564102564102564,0.1794871794871795,240.0,0.22916666666666666,0.22916666666666666,89129.0,59119.0,19862.0,158451.55555555553,105100.44444444444,35310.22222222222,660.2148148148148,437.9185185185185,147.1259259259259,42.765542100003586,16.997857300015305,684.0437827999885,76.02763040000637,30.218412977804988,1216.0778360888685,0.3167817933333599,0.12591005407418746,5.066990983703619
LLama1b2,138,138,240,138,79,59,102,0.32916666666666666,39,32,8,72,13,49,4,71,7,1,6.02039549057965,830.8145776999918,1444.8949177391162,1282.3115942028985,176959.0,307754.7826086956,0.6811594202898551,0.7391304347826086,0.5942028985507246,0.6014492753623188,44,29,11,4,0.7045454545454546,0.9318181818181818,0.9090909090909091,0.9545454545454546,0.7954545454545454,0.9090909090909091,0.5909090909090909,0.6363636363636364,0.56,0.42,0.32,0.26,240.0,0.20416666666666666,0.20416666666666666,92202.0,59781.0,24976.0,160351.3043478261,103966.95652173914,43436.52173913043,668.1304347826087,433.19565217391306,180.9855072463768,45.45966699998098,15.285750799990632,770.0691599000202,79.06029043474953,26.583914434766317,1339.2507128696004,0.3294178768114564,0.11076631014485966,5.580211303623335
LLama1b3,145,145,240,145,87,58,95,0.3625,41,39,7,78,12,46,9,77,8,2,5.683974297241391,824.1762731000017,1364.1538313379338,1259.0206896551724,182558.0,302164.9655172414,0.7412587412587412,0.7622377622377622,0.6643356643356644,0.5944055944055944,57,35,19,3,0.8043478260869565,0.9347826086956522,0.9565217391304348,0.9782608695652174,0.7551020408163265,0.7959183673469388,0.7142857142857143,0.6122448979591837,0.6666666666666666,0.5625,0.3333333333333333,0.20833333333333334,240.0,0.22083333333333333,0.22083333333333333,96334.0,62731.0,23493.0,159449.3793103448,103830.62068965516,38884.96551724138,664.3724137931034,432.6275862068965,162.02068965517242,46.7589188999882,16.433221200004475,760.984133000009,77.39407266204944,27.19981440000741,1259.559944275877,0.3224753027585393,0.11333256000003086,5.248166434482821
LLama1b4,142,142,240,142,83,59,98,0.3458333333333333,37,38,8,72,13,46,11,72,9,2,6.05525731478891,859.8465387000251,1453.2617555493384,1262.6971830985915,179303.0,303047.32394366193,0.7,0.7642857142857142,0.6071428571428571,0.5571428571428572,47,32,13,2,0.7333333333333333,0.9555555555555556,0.9555555555555556,0.9777777777777777,0.7916666666666666,0.9166666666666666,0.5833333333333334,0.5625,0.574468085106383,0.425531914893617,0.2978723404255319,0.14893617021276595,240.0,0.22916666666666666,0.22916666666666666,94922.0,60868.0,23513.0,160431.54929577466,102875.49295774648,39740.28169014085,668.4647887323944,428.6478873239437,165.58450704225353,47.643428800005495,14.617882700003967,797.5852272000157,80.5241050140938,24.706280619725014,1348.0313699155192,0.3355171042253908,0.10294283591552089,5.616797374647997
LLama1b5,126,126,240,126,73,53,114,0.30416666666666664,39,29,5,69,11,34,12,68,3,2,5.634470239682929,709.9432502000491,1352.272857523903,1241.7460317460318,156460.0,298019.04761904763,0.728,0.744,0.64,0.608,50,33,14,3,0.8095238095238095,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.7619047619047619,0.8571428571428571,0.6428571428571429,0.6904761904761905,0.6097560975609756,0.4634146341463415,0.3170731707317073,0.17073170731707318,240.0,0.22083333333333333,0.22083333333333333,84350.0,54705.0,17405.0,160666.66666666666,104200.0,33152.380952380954,669.4444444444445,434.1666666666667,138.13492063492063,42.267367399981595,14.132200600008215,653.5436822000593,80.50927123806018,26.91847733334898,1244.845108952494,0.33545529682525077,0.11216032222228742,5.186854620635391
LLama1b6,145,145,240,145,86,59,95,0.35833333333333334,39,41,6,78,13,47,7,77,8,1,6.362198858620957,922.5188345000388,1526.9277260690296,1269.703448275862,184107.0,304728.8275862069,0.7482517482517482,0.7342657342657343,0.6363636363636364,0.6013986013986014,55,32,19,4,0.7333333333333333,0.8666666666666667,0.9111111111111111,0.9111111111111111,0.8301886792452831,0.9056603773584906,0.6415094339622641,0.6226415094339622,0.6666666666666666,0.4,0.35555555555555557,0.26666666666666666,240.0,0.2375,0.2375,97017.0,63152.0,23938.0,160579.8620689655,104527.44827586207,39621.51724137931,669.0827586206897,435.5310344827586,165.08965517241379,48.64257180001732,17.136873000024927,856.7393896999965,80.51184297933901,28.36447944831712,1418.0514036413736,0.33546601241391255,0.11818533103465467,5.90854751517239
